USAF,WBAN,YRMODAHRMN,YR,MO,DA,HRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,WW,WW,WW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
654720,99999,200807300500,2008,7,30,500,280,6,***,98,BKN,*,*,*,7,**,**,**,*,77,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807300300,2008,7,30,300,270,11,***,10,BKN,*,*,*,7,**,**,**,*,77,73,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807300200,2008,7,30,200,270,11,***,10,BKN,*,*,*,7,**,**,**,*,77,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807300100,2008,7,30,100,240,11,***,10,BKN,*,*,*,7,**,**,**,*,79,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807300000,2008,7,30,0,220,9,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807292200,2008,7,29,2200,240,11,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807292100,2008,7,29,2100,240,13,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807292000,2008,7,29,2000,240,15,***,98,BKN,*,*,*,7,**,**,**,*,79,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807291900,2008,7,29,1900,220,15,***,722,SCT,*,*,*,7,**,**,**,*,79,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807291800,2008,7,29,1800,210,14,***,98,BKN,2,3,2,9.4,**,**,**,*,79,72,1011.9,29.88,******,85,***,*****,*****,*****,*****,**
654720,99999,200807291700,2008,7,29,1700,210,16,***,722,***,*,*,*,7,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200807291600,2008,7,29,1600,210,18,***,98,BKN,*,*,*,7,**,**,**,*,82,73,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200807291500,2008,7,29,1500,210,17,***,98,***,2,3,0,9.4,**,**,**,*,84,72,1012.1,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807291400,2008,7,29,1400,210,18,***,98,BKN,*,*,*,7,**,**,**,*,84,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807291300,2008,7,29,1300,230,14,***,16,BKN,*,*,*,7,**,**,**,*,82,72,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807291200,2008,7,29,1200,230,11,***,16,***,2,3,0,9.4,**,**,**,*,82,72,1014.5,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807291100,2008,7,29,1100,270,11,***,15,BKN,*,*,*,7,**,**,**,*,82,72,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807291000,2008,7,29,1000,250,13,***,14,BKN,*,*,*,7,**,**,**,*,82,72,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290900,2008,7,29,900,270,7,***,98,BKN,8,3,*,6.2,**,**,**,*,79,72,1015.5,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290800,2008,7,29,800,***,0,***,722,SCT,*,*,*,3.1,10,**,**,*,77,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290730,2008,7,29,730,290,2,***,98,BKN,*,*,*,3.1,10,**,**,*,75,72,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290700,2008,7,29,700,280,2,***,98,BKN,*,*,*,3.1,10,**,**,*,75,72,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290600,2008,7,29,600,270,5,***,98,BKN,8,3,*,3.1,10,**,**,1,75,72,1014.3,29.94,******,***,74,*****,*****,*****,*****,**
654720,99999,200807290500,2008,7,29,500,270,6,***,98,BKN,*,*,*,7,**,**,**,*,75,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290400,2008,7,29,400,260,7,***,98,BKN,*,*,*,7,**,**,**,*,75,72,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290300,2008,7,29,300,260,11,***,9,BKN,*,*,*,7,**,**,**,*,77,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290200,2008,7,29,200,240,9,***,9,BKN,*,*,*,7,**,**,**,*,77,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290100,2008,7,29,100,230,11,***,722,SCT,*,*,*,7,**,**,**,*,77,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807290000,2008,7,29,0,220,9,***,722,SCT,0,0,0,9.4,**,**,**,*,77,71,1014.6,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807282300,2008,7,28,2300,220,9,***,722,SCT,*,*,*,7,**,**,**,*,77,72,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807282200,2008,7,28,2200,230,11,***,722,SCT,*,*,*,7,**,**,**,*,77,72,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807282100,2008,7,28,2100,240,9,***,11,BKN,*,*,*,7,**,**,**,*,79,72,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807282000,2008,7,28,2000,220,11,***,11,BKN,*,*,*,7,**,**,**,*,79,72,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807281900,2008,7,28,1900,240,11,***,11,BKN,*,*,*,7,**,**,**,*,79,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807281800,2008,7,28,1800,200,17,***,722,BKN,8,0,0,9.4,**,**,**,*,79,71,1013,29.91,******,84,***,*****,*****,*****,*****,**
654720,99999,200807281700,2008,7,28,1700,210,16,***,15,BKN,*,*,*,7,**,**,**,*,81,72,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807281600,2008,7,28,1600,190,17,***,722,SCT,*,*,*,7,**,**,**,*,84,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807281500,2008,7,28,1500,190,15,***,722,SCT,*,*,*,7,**,**,**,*,84,70,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807281400,2008,7,28,1400,190,14,***,722,SCT,*,*,*,7,**,**,**,*,84,70,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807281300,2008,7,28,1300,200,16,***,16,BKN,*,*,*,7,**,**,**,*,82,70,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807281200,2008,7,28,1200,210,11,***,16,BKN,2,3,*,9.4,**,**,**,*,84,71,1015.7,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807281100,2008,7,28,1100,210,11,***,98,BKN,*,*,*,7,**,**,**,*,82,72,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807281000,2008,7,28,1000,240,11,***,15,BKN,*,*,*,7,**,**,**,*,81,72,******,30.03,******,***,***,*****,*****,*****,*****,**
654720,99999,200807280800,2008,7,28,800,300,9,***,15,BKN,*,*,*,5,**,**,**,*,77,73,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807280700,2008,7,28,700,240,7,***,98,BKN,*,*,*,3.1,10,**,**,*,77,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807280600,2008,7,28,600,250,7,***,98,BKN,5,3,0,5,10,**,**,2,76,73,1014.9,29.97,******,***,75,*****,*****,*****,*****,**
654720,99999,200807280500,2008,7,28,500,220,6,***,722,SCT,*,*,*,7,**,**,**,*,77,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807280400,2008,7,28,400,240,3,***,98,BKN,*,*,*,7,**,**,**,*,75,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807280200,2008,7,28,200,240,3,***,722,SCT,*,*,*,7,**,**,**,*,77,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807280100,2008,7,28,100,210,3,***,722,SCT,*,*,*,7,**,**,**,*,77,73,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807280000,2008,7,28,0,210,6,***,10,***,5,3,0,7.5,**,**,**,*,77,74,1015.9,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807272300,2008,7,27,2300,200,7,***,10,BKN,*,*,*,7,**,**,**,*,77,73,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807272200,2008,7,27,2200,230,9,***,722,SCT,*,*,*,7,**,**,**,*,79,73,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807272100,2008,7,27,2100,220,9,***,98,***,5,3,0,7.5,**,**,**,*,78,74,1015.9,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807272000,2008,7,27,2000,210,6,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807271900,2008,7,27,1900,200,14,***,98,BKN,*,*,*,7,**,**,**,*,79,72,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807271800,2008,7,27,1800,220,15,***,98,BKN,8,3,*,7.5,**,**,**,*,79,72,1014.4,29.94,******,81,***,*****,*****,*****,0.04,**
654720,99999,200807271700,2008,7,27,1700,210,15,***,98,BKN,*,*,*,7,**,**,**,*,81,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807271600,2008,7,27,1600,200,16,***,14,BKN,*,*,*,7,**,**,**,*,81,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807271500,2008,7,27,1500,190,17,***,14,BKN,8,7,*,7.5,**,**,**,*,80,73,1014.6,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807271400,2008,7,27,1400,210,15,***,14,BKN,*,*,*,7,**,**,**,*,81,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807271300,2008,7,27,1300,190,16,***,9,BKN,*,*,*,7,**,**,**,*,81,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807271200,2008,7,27,1200,200,15,***,14,BKN,8,7,*,6.2,3,**,**,9,80,73,1016.2,30,******,***,***,*****,0,T*****,*****,**
654720,99999,200807271100,2008,7,27,1100,210,14,***,98,BKN,*,*,*,7,**,**,**,*,79,73,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807271000,2008,7,27,1000,210,15,***,98,BKN,*,*,*,7,**,**,**,*,79,73,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270900,2008,7,27,900,190,14,***,9,BKN,5,7,*,6.2,29,**,**,9,78,74,1016.5,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270800,2008,7,27,800,200,11,***,722,***,*,*,*,7,17,**,**,*,77,75,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270730,2008,7,27,730,200,14,***,722,***,*,*,*,3.1,95,81,**,*,77,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270700,2008,7,27,700,190,11,***,722,***,*,*,*,5,**,**,**,*,77,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270600,2008,7,27,600,180,16,***,722,BKN,9,7,*,5,95,17,**,9,77,74,1014.9,29.97,******,***,75,*****,*****,0.08,*****,**
654720,99999,200807270500,2008,7,27,500,190,15,***,722,***,*,*,*,7,17,**,**,*,77,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270400,2008,7,27,400,180,13,***,8,BKN,*,*,*,7,**,**,**,*,77,75,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270300,2008,7,27,300,200,15,***,8,BKN,*,*,*,5,**,**,**,*,77,75,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270200,2008,7,27,200,210,15,***,8,BKN,*,*,*,7,**,**,**,*,77,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270100,2008,7,27,100,210,13,***,722,***,*,*,*,7,**,**,**,*,79,75,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807270000,2008,7,27,0,210,9,***,8,BKN,*,*,*,7,**,**,**,*,79,75,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807262300,2008,7,26,2300,210,11,***,722,***,*,*,*,7,17,**,**,*,79,75,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807262200,2008,7,26,2200,210,11,***,722,***,*,*,*,7,95,81,**,*,79,75,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807262100,2008,7,26,2100,200,16,***,9,BKN,*,*,*,7,61,**,**,*,79,75,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807261800,2008,7,26,1800,240,17,***,10,BKN,5,3,*,9.4,**,**,**,*,80,74,1013.7,29.91,******,84,***,*****,*****,*****,*****,**
654720,99999,200807261700,2008,7,26,1700,220,17,***,10,BKN,*,*,*,7,**,**,**,*,81,73,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807261600,2008,7,26,1600,210,17,***,10,BKN,*,*,*,7,**,**,**,*,82,73,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807261500,2008,7,26,1500,20,***,***,722,***,8,3,*,11.2,**,**,**,*,84,73,1012.5,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807261400,2008,7,26,1400,210,17,***,17,BKN,*,*,*,7,**,**,**,*,84,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807261300,2008,7,26,1300,220,17,***,16,BKN,*,*,*,7,**,**,**,*,84,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807261200,2008,7,26,1200,260,16,***,16,BKN,*,*,*,7,**,**,**,*,82,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807261100,2008,7,26,1100,240,16,***,15,BKN,*,*,*,7,**,**,**,*,82,72,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807261000,2008,7,26,1000,200,16,***,14,BKN,*,*,*,7,**,**,**,*,82,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807260900,2008,7,26,900,260,14,***,10,BKN,*,*,*,7,**,**,**,*,****,****,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807260800,2008,7,26,800,240,11,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807260700,2008,7,26,700,260,10,***,98,BKN,*,*,*,7,**,**,**,*,77,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807260600,2008,7,26,600,270,9,***,98,BKN,5,3,*,6.2,**,**,**,*,77,74,1014.2,29.94,******,***,76,*****,*****,*****,*****,**
654720,99999,200807260500,2008,7,26,500,270,11,***,98,BKN,*,*,*,7,**,**,**,*,77,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807260400,2008,7,26,400,260,3,***,98,BKN,*,*,*,7,**,**,**,*,79,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807260300,2008,7,26,300,260,11,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807260100,2008,7,26,100,250,11,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807260000,2008,7,26,0,240,11,***,10,BKN,5,0,0,9.4,**,**,**,*,78,74,1014.2,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807252300,2008,7,25,2300,220,11,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807252200,2008,7,25,2200,240,11,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807252100,2008,7,25,2100,210,10,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807252000,2008,7,25,2000,210,14,***,722,SCT,*,*,*,7,**,**,**,*,79,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807251900,2008,7,25,1900,220,11,***,98,BKN,*,*,*,7,**,**,**,*,81,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807251800,2008,7,25,1800,220,14,***,98,BKN,5,3,*,9.4,**,**,**,*,81,72,1012.9,29.91,******,83,***,*****,*****,*****,*****,**
654720,99999,200807251700,2008,7,25,1700,230,15,***,15,BKN,*,*,*,7,**,**,**,*,81,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807251600,2008,7,25,1600,240,16,***,15,BKN,*,*,*,7,**,**,**,*,82,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807251500,2008,7,25,1500,210,13,***,15,BKN,*,*,*,7,**,**,**,*,82,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807251400,2008,7,25,1400,200,15,***,15,BKN,*,*,*,7,**,**,**,*,82,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807251300,2008,7,25,1300,180,14,***,15,BKN,*,*,*,7,**,**,**,*,84,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807251200,2008,7,25,1200,250,9,***,15,BKN,8,3,*,8.1,**,**,**,*,83,73,1015,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807251100,2008,7,25,1100,280,11,***,15,BKN,*,*,*,7,**,**,**,*,82,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807251000,2008,7,25,1000,260,9,***,14,BKN,*,*,*,7,**,**,**,*,81,73,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807250900,2008,7,25,900,290,5,***,98,BKN,8,3,*,2.5,10,**,**,2,78,74,1016.3,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807250830,2008,7,25,830,280,6,***,98,BKN,*,*,*,2.5,**,**,**,*,77,73,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807250800,2008,7,25,800,290,10,***,98,BKN,*,*,*,1.9,10,**,**,*,77,73,******,30,******,***,***,*****,*****,*****,*****,**
654720,99999,200807250700,2008,7,25,700,280,6,***,98,BKN,*,*,*,1.9,10,**,**,*,75,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807250600,2008,7,25,600,***,0,***,98,BKN,*,*,*,1.9,10,**,**,*,75,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807250500,2008,7,25,500,***,0,***,722,***,*,*,*,6.2,**,**,**,*,77,73,******,29.94,******,***,***,*****,*****,*****,*****,**
