dia,volume_m3,refletancia
03/02/2008,14.978,60.9
03/03/2008,15.106,52.45
03/04/2008,14.893,53
03/05/2008,15.007,48.4
03/06/2008,15.156,54.75
03/07/2008,15.135,64.75
03/08/2008,15.732,60.95
03/09/2008,14.552,81.2
03/10/2008,15.033,58
03/11/2008,13.853,47.75
03/12/2008,15.364,63.55
03/13/2008,15.067,52.6
03/14/2008,14.732,54.2
03/15/2008,14.973,64.35
03/16/2008,14.848,56.4
03/17/2008,14.781,58.85
03/18/2008,15.144,47.3
03/19/2008,14.387,50
03/20/2008,15.548,71.85
03/21/2008,14.308,67.65
03/22/2008,14.724,76.85
03/23/2008,14.706,53.35
03/24/2008,14.831,59.85
03/25/2008,14.503,54.7
03/26/2008,12.911,51.55
03/27/2008,,
03/28/2008,,
03/29/2008,,
03/30/2008,,
03/31/2008,,
04/01/2008,,
04/02/2008,,
04/03/2008,,
04/04/2008,,
04/05/2008,,
04/06/2008,,
04/07/2008,,
04/08/2008,,
04/09/2008,,
04/10/2008,,
04/11/2008,,
04/12/2008,,
04/13/2008,,
04/14/2008,17.666,32.5
04/15/2008,16.421,42.3
04/16/2008,16.478,51.15
04/17/2008,16.4,44.1
04/18/2008,16.486,45.45
04/19/2008,15.958,68.05
04/20/2008,16.212,66.3
04/21/2008,16.308,52.6
04/22/2008,16.124,40.8
04/23/2008,32.127,27.05
04/24/2008,,
04/25/2008,16.516,38.9
04/26/2008,17.054,53.65
04/27/2008,17.194,44.45
04/28/2008,16.297,33.8
04/29/2008,17.058,26.15
04/30/2008,33.527,38.85
05/01/2008,,
05/02/2008,15.558,43.75
05/03/2008,16.918,93.85
05/04/2008,15.432,54.05
05/05/2008,18.95,99.55
05/06/2008,12.096,58.1
05/07/2008,15.661,25.15
05/08/2008,16.054,39.2
05/09/2008,16.532,32.15
05/10/2008,14.915,69.4
05/11/2008,15.676,51.1
05/12/2008,16.073,52.95
05/13/2008,15.445,31.55
05/14/2008,15.949,35.45
05/15/2008,15.626,40
05/16/2008,15.945,52.25
05/17/2008,16.52,82.9
05/18/2008,15.64,53.2
05/19/2008,16.193,51.1
05/20/2008,15.995,36.05
05/21/2008,14.773,48.55
05/22/2008,15.052,36.85
05/23/2008,15.454,50.05
05/24/2008,16.015,59.1
05/25/2008,15.797,48.85
05/26/2008,16.422,53.7
05/27/2008,14.858,28.4
05/28/2008,14.741,44.35
05/29/2008,15.062,45.95
05/30/2008,15.807,59.25
05/31/2008,14.685,60.5
06/01/2008,14.789,44.7
06/02/2008,14.869,36.7
06/03/2008,13.686,32.6
06/04/2008,14.108,43.45
06/05/2008,14.296,40.75
06/06/2008,14.297,44
06/07/2008,16.048,93.25
06/08/2008,14.678,56.75
06/09/2008,14.916,40.3
06/10/2008,14.522,30.6
06/11/2008,14.462,31.55
06/12/2008,14.521,33.95
06/13/2008,14.985,40.4
06/14/2008,14.5,59.3
06/15/2008,12.812,52.05
06/16/2008,15.786,33.85
06/17/2008,13.577,39.6
06/18/2008,13.477,41.85
06/19/2008,27.928,33.05
06/20/2008,,
06/21/2008,14.675,65.4
06/22/2008,14.161,52.8
06/23/2008,14.704,36.45
06/24/2008,13.732,53.55
06/25/2008,13.006,38.9
06/26/2008,13.871,37
06/27/2008,13.174,52
06/28/2008,13.251,39.95
06/29/2008,13.62,43.4
06/30/2008,12.528,39.65
07/01/2008,12.813,41.75
07/02/2008,13.386,39.5
07/03/2008,13.459,46.4
07/04/2008,14.019,39.9
07/05/2008,14.227,57.2
07/06/2008,13.765,42.25
07/07/2008,14.416,28.6
07/08/2008,14.658,42.4
07/09/2008,13.948,51.65
07/10/2008,15.155,38.7
07/11/2008,14.616,99.25
07/12/2008,14.142,70.35
07/13/2008,13.98,49.4
07/14/2008,14.287,42.55
07/15/2008,13.607,41.05
07/16/2008,14.319,49.6
07/17/2008,13.747,46.4
07/18/2008,14.019,36.4
07/19/2008,14.351,60.55
07/20/2008,13.116,46.35
07/21/2008,14.364,58.25
07/22/2008,14.214,47.45
07/23/2008,13.981,34
07/24/2008,14.05,33.05
07/25/2008,15.087,44.7
07/26/2008,14.172,67
07/27/2008,12.958,46.6
07/28/2008,13.997,38.9
07/29/2008,14.219,52
07/30/2008,-6843.982,46.45
07/31/2008,0,
08/01/2008,0,
08/02/2008,0,
08/03/2008,0,
08/04/2008,0,
08/05/2008,0,
08/06/2008,0,
08/07/2008,0,
08/08/2008,0,
08/09/2008,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
12/30/1899,0,
